Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
1045211,2020-03-09 15:09:26,577588686219,fraud_Towne LLC,misc_pos,194.51,James,Strickland,M,25454 Leonard Lake,Spring Church,PA,15686,40.6153,-79.4545,972,Public relations account executive,1997-10-23,fff87d4340ef756a592eac652493cf6b,1362841766,40.420453,-78.865012,0
547406,2019-08-22 15:49:01,30376238035123,fraud_Friesen Ltd,health_fitness,52.32,Cynthia,Davis,F,7177 Steven Forges,Sixes,OR,97476,42.825,-124.4409,217,Retail merchandiser,1928-10-01,d0ad335af432f35578eea01d639b3621,1345650541,42.75886,-123.636337,0
110142,2019-03-04 01:34:16,4658490815480264,fraud_Mohr Inc,shopping_pos,6.53,Tara,Richards,F,4879 Cristina Station,Keisterville,PA,15449,39.9636,-79.7853,184,Systems developer,1945-11-04,87f26e3ea33f4ff4c7a8bad2c7f48686,1330824856,40.475159000000005,-78.89819,0
1285953,2020-06-16 20:04:38,3514897282719543,fraud_Gaylord-Powlowski,home,7.33,Steven,Faulkner,M,841 Cheryl Centers Suite 115,Farmington,NY,14425,42.958,-77.3083,10717,Cytogeneticist,1952-10-13,9c34015321c0fa2ae6fd20f9359d1d3e,1371413078,43.767506,-76.542384,0
271705,2019-05-14 05:54:48,6011381817520024,"fraud_Christiansen, Goyette and Schamberger",gas_transport,64.29,Kristen,Allen,F,8619 Lisa Manors Apt. 871,Lagrange,WY,82221,41.6423,-104.1974,635,Product/process development scientist,1973-07-13,198437c05676f485e9be04449c664475,1336974888,41.040392,-104.092324,0
391181,2019-06-28 10:46:05,4855488158131690372,"fraud_Schuppe, Nolan and Hoeger",shopping_pos,129.8,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1993-09-29,2203dd06764180b6314dca2b21df2494,1340880365,44.272392,-72.743707,0
962652,2020-01-23 09:09:59,30427035050508,fraud_Kuhic Inc,grocery_pos,111.1,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,1969-11-20,7b44d808a40f8ac414736be6a038e83c,1358932199,42.170491,-83.291412,0
974821,2020-01-30 11:23:44,213120463918358,"fraud_Douglas, Schneider and Turner",shopping_pos,8.43,Willie,Jordan,M,529 West Key,Spearsville,LA,71277,32.955,-92.587,1758,"Psychologist, forensic",1957-08-08,c5b880abe58cd5eedbda555cdb302d86,1359545024,32.019064,-91.779016,0
127056,2019-03-11 10:35:53,6597888193422452,fraud_Hickle Group,shopping_pos,2.36,Bill,Lane,M,4725 Hurst Curve Apt. 634,Holliday,TX,76366,33.6751,-98.6576,2317,Chief Technology Officer,1964-08-23,91376d8059070c4c481a6b47e763b195,1331462153,32.913817,-99.093146,0
1122630,2020-04-12 18:50:07,4809701904914,fraud_Bahringer-Streich,food_dining,88.0,Sabrina,Nolan,F,312 Eric Expressway Apt. 014,Phenix City,AL,36869,32.4204,-85.0796,59744,Chemical engineer,1984-02-07,f8a5ece3bf61877d1cab6dde1ec687ce,1365792607,32.167677000000005,-85.957662,0
860974,2019-12-17 14:46:27,3589255887819806,fraud_Pollich LLC,home,124.45,David,Miller,M,622 Bradley Knoll Apt. 758,Hancock,MD,21750,39.6991,-78.1762,3766,Press photographer,1984-02-14,76757c92e09b6db6f48d18c8937c796e,1355755587,39.242303,-77.234023,0
705081,2019-10-27 23:24:54,30518206766474,fraud_Weber and Sons,food_dining,88.58,Tamara,Martinez,F,471 Marquez Prairie Suite 680,Matthews,MO,63867,36.7154,-89.6287,1019,Aeronautical engineer,1979-01-26,c293e3d5ebc1bd50000b027b5dd92a09,1351380294,36.280406,-89.622451,0
325726,2019-06-04 11:26:15,376445266762684,fraud_Berge LLC,gas_transport,56.75,Rachel,Lowe,F,372 Jeffrey Course,Sutherland,NE,69165,41.1558,-101.136,1789,Insurance broker,1982-02-11,9e40574a956e4751fa5efe8191e5b32c,1338809175,41.194719,-101.076517,0
485397,2019-07-31 12:34:22,30044330818990,fraud_Schmidt and Sons,shopping_net,2.02,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,1985-08-29,5685fd238c51ead57236b4440951ece0,1343738062,26.115136,-81.756214,0
566999,2019-08-29 14:28:55,180036456789979,fraud_Kozey-Boehm,shopping_net,7.36,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,1974-11-20,b8d56cc4e26c7059a49ca19916f7e701,1346250535,43.878878,-90.871225,0
579758,2019-09-02 14:37:08,3583635130604947,fraud_Gibson-Deckow,entertainment,62.97,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1985-01-01,ca1abe66060045960598f93bdbb94d35,1346596628,39.353332,-74.37355500000001,0
12322,2019-01-08 02:55:42,6538441737335434,fraud_Trantow PLC,grocery_net,35.81,Gina,Grimes,F,444 Robert Mews,Clarks Mills,PA,16114,41.3851,-80.1752,606,Energy manager,1997-09-22,bcf7fc481328497bb47e0ef1c8a3fb43,1325991342,42.137081,-79.226344,0
401338,2019-07-01 10:44:42,30118423745458,fraud_Cole PLC,grocery_pos,49.03,Jared,Velazquez,M,01479 Murray Circle,Matawan,NJ,7747,40.4109,-74.238,30770,Drilling engineer,1993-04-29,969d67625fa80ac936c3e61f3cf2666d,1341139482,40.902721,-74.66294,0
688636,2019-10-20 20:16:32,38797410705641,"fraud_Kling, Howe and Schneider",home,65.28,Andrew,Tucker,M,583 Gray Creek,Oak Hill,NY,12460,42.4069,-74.1528,277,Glass blower/designer,1971-12-12,936a08b99425359a311c031a5105fd1c,1350764192,42.217851,-75.027751,0
1277678,2020-06-14 17:58:56,213180742685905,fraud_Harris Group,food_dining,28.87,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15,4aef84843de342a412bbfedf90a4e419,1371232736,40.620905,-124.282498,0
813418,2019-12-07 17:21:35,4908846471916297,fraud_Pacocha-Weissnat,kids_pets,37.44,Lauren,Torres,F,03030 White Lakes,Grandview,TX,76050,32.2779,-97.2351,5875,"Radiographer, therapeutic",1992-07-24,bd5c94e257dc949fb03429367956d026,1354900895,33.189815,-96.527279,0
1244120,2020-06-02 09:05:04,30230540139182,fraud_Schumm PLC,shopping_net,77.29,Hayden,Sanders,M,8465 Reed Green Suite 559,Montandon,PA,17850,40.9661,-76.8575,645,Orthoptist,1974-05-18,d0724d54a39782d381735db9bc88f677,1370163904,41.55806,-77.227642,0
